,close,date,high,low,ma10,ma20,ma5,max_close,max_high,max_volume,min_close,min_low,min_volume,open,p_change,price_change,stock_code,turnover,v_ma10,v_ma20,v_ma5,volume
270,12.58,2017-02-16,12.58,11.93,12.826,13.215,12.522,12.58,12.74,50942.04,12.24,11.93,13181.46,11.95,5.01,0.6,600247,1.51,30524.54,23918.48,42063.83,50942.04
8,25.4,2016-01-14,26.0,22.5,32.145,34.816,28.26,26.3,27.3,48484.15,22.59,21.2,26580.35,23.3,3.38,0.83,000710,2.75,44524.38,50064.91,40687.87,41571.33
19,8.55,2016-01-29,8.64,8.26,9.215,9.752,8.788,8.99,9.12,295539.62,8.35,8.25,177813.12,8.29,3.39,0.28,600089,0.85,262966.98,296266.86,256440.72,271174.69
86,8.46,2016-05-12,8.48,8.3,8.68,8.82,8.492,8.47,8.52,199007.55,8.26,8.15,81938.18,8.38,0.12,0.01,600089,0.35,173522.71,193936.89,162982.23,112503.17
132,8.88,2016-07-19,8.98,8.73,8.704,8.595,8.808,9.17,9.38,810939.75,8.66,8.63,111578.26,8.78,1.25,0.11,600089,0.93,244999.42,219593.06,233785.62,296236.22
15,18.15,2016-01-29,18.15,16.55,20.935,20.531,18.872,24.64,24.64,228106.84,18.15,16.55,69285.96,16.8,10.0,1.65,300459,10.46,138211.52,120494.58,97341.48,69285.96
131,29.15,2016-08-01,29.35,27.5,32.294,32.332,30.108,35.79,37.8,252460.55,29.15,27.5,33564.7,28.5,1.5,0.43,300459,4.14,89970.37,103324.78,65400.43,53625.69
36,10.17,2016-03-01,10.28,9.52,11.73,11.12,10.846,11.07,11.36,75032.02,10.1,9.52,28326.89,9.91,2.52,0.25,002098,2.99,76251.77,71677.66,65111.41,59474.71
88,11.51,2016-05-16,11.55,10.89,12.144,12.601,11.204,11.51,11.55,46577.36,10.59,10.23,22988.53,11.0,5.5,0.6,002098,2.34,72259.42,82853.88,44809.79,46577.36
52,110.88,2017-01-25,112.94,105.0,127.027,127.556,119.838,110.88,114.99,18674.76,105.64,104.66,5893.97,105.0,-0.03,-0.03,603716,14.66,10958.29,10469.67,10863.21,18674.76
66,100.29,2017-02-21,101.18,96.87,105.078,110.864,101.622,109.06,110.02,14234.78,100.29,96.87,4389.0,97.68,3.02,2.94,603716,5.57,8753.82,9419.02,8674.83,7101.06
86,7.1,2016-05-12,7.12,6.85,7.429,7.708,7.156,7.17,7.35,128095.67,6.87,6.77,51541.03,7.0,0.71,0.05,600545,1.11,89084.83,111758.28,84930.9,74797.53
242,16.61,2017-01-17,16.79,16.08,17.248,17.42,16.826,16.84,16.99,20040.0,16.45,16.0,3.0,16.21,2.53,0.41,002615,1.3,18394.09,21665.61,20277.84,19997.13
86,17.4,2016-05-12,17.5,16.92,19.077,19.776,17.928,17.73,17.84,43446.45,16.73,16.42,25719.27,17.2,-1.14,-0.2,600345,1.9,42573.8,49002.96,42841.58,37599.15
218,24.11,2016-11-25,24.11,23.38,24.63,24.574,24.526,24.11,24.23,46734.98,23.05,22.48,12964.22,23.85,0.84,0.2,600345,1.89,35858.83,35366.94,35613.73,37475.73
232,21.84,2016-12-15,22.19,21.38,22.679,23.408,22.062,22.8,23.1,19885.2,21.84,21.38,12124.76,21.55,1.02,0.22,600345,0.89,18618.06,27209.57,19992.1,17675.13
82,30.93,2016-08-26,31.37,29.6,31.13,30.163,30.804,31.02,31.95,67063.88,29.2,28.02,31912.6,29.83,4.88,1.44,000034,1.97,75878.65,74398.68,61089.61,67063.88
136,28.64,2016-11-23,28.84,28.2,28.657,29.632,28.35,28.64,28.84,79612.35,26.51,26.15,15594.47,28.2,1.56,0.44,000034,1.23,47221.86,41363.71,42164.95,44141.83
152,23.98,2016-12-15,24.69,22.13,25.259,26.553,23.964,23.98,24.69,75189.89,22.33,22.13,18465.58,22.47,6.48,1.46,000034,2.1,43824.71,45748.39,58849.14,75189.89
157,23.9,2016-12-22,24.4,23.16,23.811,25.388,23.658,23.9,24.4,50640.13,22.18,22.05,22417.43,23.36,2.71,0.63,000034,1.41,44545.09,43651.77,30241.04,50640.13
36,61.85,2016-12-01,61.85,55.58,61.098,63.914,58.718,61.9,66.6,246460.81,52.22,51.02,84551.29,56.37,9.99,5.62,603777,28.09,130743.84,189026.63,95590.75,168523.55
68,42.06,2017-01-17,43.0,37.51,46.352,51.001,42.648,42.06,43.0,100011.15,39.62,37.51,25593.98,39.01,6.97,2.74,603777,16.67,63673.22,76500.84,67936.04,100011.15
19,39.51,2016-01-29,40.2,36.8,41.886,43.091,39.97,43.3,43.55,50184.9,38.4,36.8,30338.88,37.24,6.01,2.24,002649,3.8,57115.72,60210.88,49863.25,50184.9
167,39.0,2016-09-06,39.11,37.72,38.464,37.95,38.494,39.05,39.41,37352.37,37.31,37.12,12778.35,38.0,2.88,1.09,002649,2.83,27177.33,27330.35,29238.52,37352.37
174,38.07,2016-09-19,38.26,37.32,38.209,38.28,37.854,39.5,39.67,37949.93,38.01,37.32,12778.35,37.32,2.04,0.76,002649,1.6,24248.51,26010.6,20691.22,21188.81
272,37.32,2017-02-20,37.5,36.8,38.139,37.803,37.826,38.55,39.18,26797.32,37.32,36.8,15614.95,36.96,0.4,0.15,002649,1.77,23524.12,18933.52,22367.0,24064.69
73,8.18,2016-04-22,8.19,7.91,8.43,8.295,8.274,8.79,8.94,107429.16,8.18,7.91,27260.53,8.05,1.87,0.15,002523,1.03,56191.06,72494.89,47205.83,31254.17
87,5.49,2016-05-13,5.49,5.0,7.417,7.859,6.326,5.98,6.2,593951.81,5.49,5.0,129478.22,5.01,10.02,0.5,002523,3.88,75398.46,58984.75,80437.69,175894.27
108,5.54,2016-06-15,5.61,5.27,5.708,5.723,5.616,5.55,5.61,96426.1,5.43,5.26,51630.86,5.3,2.78,0.15,002523,2.13,141970.95,168726.81,117971.32,96426.1
222,6.76,2016-12-05,6.81,6.65,7.107,7.284,6.854,6.87,6.93,100537.28,6.38,6.32,40819.35,6.69,-0.73,-0.05,002523,1.34,119447.99,127145.02,95718.39,86809.51
252,6.84,2017-01-17,6.84,6.58,6.976,6.82,6.854,7.27,7.48,63442.26,6.78,6.58,5.0,6.6,2.86,0.19,002523,0.75,66375.85,55004.35,53393.11,48287.56
